
 generation best average standard 

   Generation#         Best_fitness       Ava_fitness 
  151,                   29901.220,                  26422.922,    
  
  152,                   29901.220,                  26134.182,    
  
  153,                   29901.220,                  25731.875,    
  
  154,                   29901.220,                  23563.072,    
  
  155,                   29901.220,                  24978.586,    
  
  156,                   29901.220,                  25560.731,    
  
  157,                   29901.220,                  25529.150,    
  
  158,                   29901.220,                  26209.116,    
  
  159,                   29901.220,                  26400.481,    
  
  160,                   29901.220,                  26366.855,    
  
  161,                   29901.220,                  25319.992,    
  
  162,                   29901.220,                  24597.937,    
  
  163,                   29901.220,                  24877.112,    
  
  164,                   29901.220,                  25354.764,    
  
  165,                   29901.220,                  25770.381,    
  
  166,                   29901.220,                  25326.238,    
  
  167,                   29901.220,                  25765.142,    
  
  168,                   29901.220,                  26058.446,    
  
  169,                   29901.220,                  25512.989,    
  
  170,                   29901.220,                  24121.605,    
  
  171,                   29901.220,                  25725.840,    
  
  172,                   29901.220,                  25562.226,    
  
  173,                   29901.220,                  26836.576,    
  
  174,                   29901.220,                  25286.466,    
  
  175,                   29901.220,                  24610.231,    
  
  176,                   29901.220,                  26073.499,    
  
  177,                   29901.220,                  26457.729,    
  
  178,                   29901.220,                  26000.560,    
  
  179,                   29901.220,                  25647.946,    
  
  180,                   29901.220,                  23064.388,    
  
  181,                   29901.220,                  24896.612,    
  
  182,                   29901.220,                  24596.988,    
  
  183,                   29901.220,                  24867.164,    
  
  184,                   29901.220,                  26274.425,    
  
  185,                   29901.220,                  27060.474,    
  
  186,                   29901.220,                  26900.856,    
  
  187,                   29901.220,                  26562.896,    
  
  188,                   29901.220,                  27433.640,    
  
  189,                   29901.220,                  26916.421,    
  
  190,                   29901.220,                  28012.702,    
  
  191,                   29901.220,                  27426.038,    
  
  192,                   29901.220,                  26828.244,    
  
  193,                   29901.220,                  26790.708,    
  
  194,                   29901.220,                  26027.744,    
  
  195,                   29901.220,                  25456.184,    
  
  196,                   29901.220,                  26596.375,    
  
  197,                   29901.220,                  25773.218,    
  
  198,                   29901.220,                  25506.243,    
  
  199,                   29901.220,                  26107.907,    
  
  200,                   29901.220,                  26804.257,    
  
  201,                   29901.220,                  26614.513,    
  
  202,                   29901.220,                  26816.685,    
  
  203,                   29901.220,                  26488.492,    
  
  204,                   29901.220,                  26847.816,    
  
  205,                   29901.220,                  27176.732,    
  
  206,                   29901.220,                  26877.359,    
  
  207,                   29901.220,                  26670.728,    
  
  208,                   29901.220,                  27289.355,    
  
  209,                   29901.220,                  26553.349,    
  
  210,                   29901.220,                  26526.141,    
  
  211,                   29901.220,                  25967.077,    
  
  212,                   29932.068,                  26145.959,    
  
  213,                   29932.068,                  25633.554,    
  
  214,                   29932.068,                  25435.208,    
  
  215,                   29932.068,                  24774.063,    
  
  216,                   29932.868,                  24880.457,    
  
  217,                   29932.868,                  26101.088,    
  
  218,                   29932.868,                  26224.211,    
  
  219,                   29932.868,                  24868.894,    
  
  220,                   29932.868,                  25141.781,    
  
  221,                   29935.908,                  24086.587,    
  
  222,                   29936.028,                  24888.575,    
  
  223,                   29936.028,                  24824.927,    
  
  224,                   29936.028,                  25044.409,    
  
  225,                   29936.028,                  25854.774,    
  
  226,                   29936.028,                  26205.376,    
  
  227,                   29936.028,                  26321.254,    
  
  228,                   29997.384,                  26356.501,    
  
  229,                   29997.564,                  26280.522,    
  
  230,                   30005.904,                  26085.003,    
  
  231,                   30005.904,                  24701.599,    
  
  232,                   30005.904,                  25939.647,    
  
  233,                   30005.904,                  26024.983,    
  
  234,                   30005.904,                  26262.300,    
  
  235,                   30005.904,                  25528.668,    
  
  236,                   30005.904,                  25709.467,    
  
  237,                   30005.904,                  25534.712,    
  
  238,                   30005.944,                  25319.253,    
  
  239,                   30005.944,                  25539.332,    
  
  240,                   30005.944,                  25091.366,    
  
  241,                   30005.944,                  25480.510,    
  
  242,                   30005.944,                  25999.281,    
  
  243,                   30005.944,                  26854.002,    
  
  244,                   30005.944,                  27247.893,    
  
  245,                   30005.944,                  26582.822,    
  
  246,                   30005.944,                  27448.347,    
  
  247,                   30005.944,                  26636.446,    
  
  248,                   30005.944,                  26613.193,    
  
  249,                   30005.944,                  26295.257,    
  
  250,                   30005.944,                  25602.164,    
  
  251,                   30005.944,                  25205.926,    
  
  252,                   30005.944,                  25509.454,    
  
  253,                   30005.944,                  26365.764,    
  
  254,                   30005.944,                  24882.152,    
  
  255,                   30005.944,                  26146.560,    
  
  256,                   30005.944,                  25651.311,    
  
  257,                   30005.944,                  26166.889,    
  
  258,                   30005.944,                  26889.039,    
  
  259,                   30005.944,                  26600.431,    
  
  260,                   30005.944,                  25829.735,    
  
  261,                   30005.944,                  26786.112,    
  
  262,                   30005.944,                  27226.078,    
  
  263,                   30005.944,                  25251.073,    
  
  264,                   30005.944,                  25987.277,    
  
  265,                   30005.944,                  25764.753,    
  
  266,                   30005.944,                  26775.767,    
  
  267,                   30005.944,                  26646.534,    
  
  268,                   30005.944,                  26222.508,    
  
  269,                   30005.944,                  27290.019,    
  
  270,                   30005.944,                  26604.239,    
  
  271,                   30005.944,                  27498.304,    
  
  272,                   30005.944,                  27331.848,    
  
  273,                   30005.944,                  25963.639,    
  
  274,                   30005.944,                  26658.603,    
  
  275,                   30005.944,                  27482.133,    
  
  276,                   30005.944,                  28111.967,    
  
  277,                   30005.944,                  28528.775,    
  
  278,                   30005.944,                  27413.361,    
  
  279,                   30005.944,                  28113.272,    
  
  280,                   30005.944,                  27213.019,    
  
  281,                   30005.944,                  27730.529,    
  
  282,                   30005.944,                  26661.013,    
  
  283,                   30005.944,                  27321.735,    
  
  284,                   30005.944,                  27181.986,    
  
  285,                   30005.944,                  27178.402,    
  
  286,                   30005.944,                  26683.999,    
  
  287,                   30005.944,                  25649.139,    
  
  288,                   30005.944,                  26095.064,    
  
  289,                   30005.944,                  25095.142,    
  
  290,                   30005.944,                  25775.902,    
  
  291,                   30005.944,                  26106.019,    
  
  292,                   30005.944,                  25532.825,    
  
  293,                   30005.944,                  25538.132,    
  
  294,                   30005.944,                  25374.748,    
  
  295,                   30005.944,                  25793.925,    
  
  296,                   30005.944,                  25825.258,    
  
  297,                   30005.944,                  25247.589,    
  
  298,                   30005.944,                  25838.856,    
  
  299,                   30005.944,                  25816.885,    
  
  300,                   30005.944,                  25855.132,    
  
  301,                   30005.944,                  27029.169,    
  
  302,                   30005.944,                  25864.607,    
  
  303,                   30005.944,                  26527.022,    
  
  304,                   30005.944,                  25710.214,    
  
  305,                   30005.944,                  26049.083,    
  
  306,                   30005.944,                  25439.482,    
  
  307,                   30005.944,                  26451.464,    
  
  308,                   30005.944,                  26975.389,    
  
  309,                   30005.964,                  25895.322,    
  
  310,                   30005.964,                  25403.258,    
  
  311,                   30005.964,                  26196.480,    
  
  312,                   30005.964,                  26206.598,    
  
  313,                   30005.964,                  26444.118,    
  
  314,                   30005.964,                  26994.867,    
  
  315,                   30005.964,                  27657.019,    
  
  316,                   30005.964,                  27021.673,    
  
  317,                   30005.964,                  27398.223,    
  
  318,                   30005.964,                  27542.532,    
  
  319,                   30005.964,                  26010.543,    
  
  320,                   30005.964,                  25661.748,    
  
  321,                   30005.964,                  26664.553,    
  
  322,                   30005.964,                  27221.114,    
  
  323,                   30005.964,                  26471.438,    
  
  324,                   30005.964,                  26284.369,    
  
  325,                   30005.964,                  26714.711,    
  
  326,                   30005.964,                  27015.969,    
  
  327,                   30005.964,                  26756.563,    
  
  328,                   30005.964,                  26328.129,    
  
  329,                   30005.964,                  25945.045,    
  
  330,                   30005.964,                  26067.342,    
  
  331,                   30005.964,                  26479.042,    
  
  332,                   30005.964,                  25400.131,    
  
  333,                   30005.964,                  27077.167,    
  
  334,                   30005.964,                  26286.384,    
  
  335,                   30005.964,                  26858.008,    
  
  336,                   30005.964,                  26228.451,    
  
  337,                   30005.964,                  25242.722,    
  
  338,                   30005.964,                  27018.890,    
  
  339,                   30005.964,                  27149.308,    
  
  340,                   30005.964,                  27097.717,    
  
  341,                   30005.964,                  26457.675,    
  
  342,                   30005.964,                  26285.451,    
  
  343,                   30005.964,                  25716.285,    
  
  344,                   30005.964,                  26158.904,    
  
  345,                   30005.964,                  26730.448,    
  
  346,                   30005.964,                  26346.168,    
  
  347,                   30005.964,                  25443.432,    
  
  348,                   30005.964,                  26300.344,    
  
  349,                   30005.964,                  24791.722,    
  
  350,                   30005.964,                  24360.830,    
  
  351,                   30005.964,                  23143.273,    
  
  352,                   30005.964,                  24542.103,    
  
  353,                   30005.964,                  24969.701,    
  
  354,                   30005.964,                  24652.237,    
  
  355,                   30005.964,                  23581.786,    
  
  356,                   30005.964,                  23777.833,    
  
  357,                   30005.964,                  23277.036,    
  
  358,                   30005.964,                  23561.014,    
  
  359,                   30005.964,                  24936.573,    
  
  360,                   30005.964,                  24508.591,    
  
  361,                   30005.964,                  23574.680,    
  
  362,                   30005.964,                  23997.662,    
  
  363,                   30005.964,                  25207.501,    
  
  364,                   30005.964,                  23781.773,    
  
  365,                   30005.964,                  25524.085,    
  
  366,                   30005.964,                  25563.381,    
  
  367,                   30005.964,                  24637.558,    
  
  368,                   30005.964,                  24078.414,    
  
  369,                   30005.964,                  25776.570,    
  
  370,                   30005.964,                  26367.031,    
  
  371,                   30005.964,                  26898.536,    
  
  372,                   30005.964,                  26131.701,    
  
  373,                   30005.964,                  27084.929,    
  
  374,                   30005.964,                  25969.223,    
  
  375,                   30005.964,                  25606.927,    
  
